"Name","CO","NO2","PM_Value","AQI_CO","AQI_NO2","AQI_PM2.5","AQI_Site","Fine"
"Civic","0","0","36","0","0","145","145","50000"
"Monash","1","0","46","7","0","183","183","50000"
"Florey","0","0","33","5","0","131","131","0"
"Monash","1","0","45","7","0","178","178","50000"
"Florey","0","0","29","5","0","115","115","0"
"Civic","0","0","33","0","0","132","132","0"
"Florey","0","0","27","5","0","107","107","0"
"Monash","1","0","43","7","0","171","171","50000"
"Civic","0","0","31","0","0","122","122","0"
"Civic","0","0","29","0","0","115","115","0"
"Florey","0","0","26","5","0","102","102","0"
"Monash","1","0","42","7","0","166","166","50000"
"Monash","1","0","39","6","0","156","156","50000"
"Civic","0","0","28","0","0","110","110","0"
"Florey","0","0","25","5","1","99","99","0"
"Florey","1","0","24","5","4","96","96","0"
"Civic","0","0","26","0","0","105","105","0"
"Monash","1","0","37","6","0","146","146","50000"
"Civic","0","0","25","0","0","101","101","0"
"Florey","1","0","22","5","4","89","89","0"
"Monash","1","0","34","6","0","134","134","0"
"Monash","0","0","58","6","0","235","235","75000"
"Florey ","0","0","28","5","0","115","115","0"
